월,일,요일,시간,구장,홈팀,홈점수,원정점수,원정팀,홈팀승리
03,22,토,14:00,잠실,롯데,2.0,12.0,LG,-1.0
03,22,토,14:00,문학,두산,5.0,6.0,SSG,-1.0
03,22,토,14:00,대구,키움,5.0,13.0,삼성,-1.0
03,22,토,14:00,수원,한화,4.0,3.0,KT,1.0
03,22,토,14:00,광주,NC,2.0,9.0,KIA,-1.0
03,23,일,14:00,잠실,롯데,2.0,10.0,LG,-1.0
03,23,일,14:00,문학,두산,2.0,5.0,SSG,-1.0
03,23,일,14:00,대구,키움,7.0,11.0,삼성,-1.0
03,23,일,14:00,수원,한화,4.0,5.0,KT,-1.0
03,23,일,14:00,광주,NC,5.0,4.0,KIA,1.0
03,25,화,18:30,잠실,한화,0.0,5.0,LG,-1.0
03,25,화,18:30,문학,롯데,3.0,2.0,SSG,1.0
03,25,화,18:30,대구,NC,5.0,14.0,삼성,-1.0
03,25,화,18:30,수원,두산,3.0,8.0,KT,-1.0
03,25,화,18:30,광주,키움,6.0,11.0,KIA,-1.0
03,26,수,18:30,잠실,한화,0.0,4.0,LG,-1.0
03,26,수,18:30,문학,롯데,1.0,3.0,SSG,-1.0
03,26,수,18:30,대구,NC,8.0,6.0,삼성,1.0
03,26,수,18:30,수원,두산,3.0,2.0,KT,1.0
03,26,수,18:30,광주,키움,17.0,10.0,KIA,1.0
03,27,목,18:30,잠실,한화,1.0,2.0,LG,-1.0
03,27,목,18:30,문학,롯데,2.0,5.0,SSG,-1.0
03,27,목,18:30,대구,NC,11.0,5.0,삼성,1.0
03,27,목,18:30,수원,두산,3.0,4.0,KT,-1.0
03,27,목,18:30,광주,키움,5.0,3.0,KIA,1.0
03,28,금,18:30,잠실,삼성,0.0,2.0,두산,-1.0
03,28,금,18:30,사직,KT,2.0,0.0,롯데,1.0
03,28,금,18:30,창원,LG,8.0,4.0,NC,1.0
03,28,금,18:30,고척,SSG,3.0,9.0,키움,-1.0
03,28,금,18:30,대전(신),KIA,2.0,7.0,한화,-1.0
03,29,토,14:00,고척,SSG,1.0,3.0,키움,-1.0
03,29,토,14:00,대전(신),KIA,4.0,5.0,한화,-1.0
03,29,토,17:00,잠실,삼성,13.0,2.0,두산,1.0
03,29,토,17:00,사직,KT,1.0,3.0,롯데,-1.0
03,29,토,17:00,창원,LG,14.0,4.0,NC,1.0
03,30,일,14:00,잠실,삼성,3.0,2.0,두산,1.0
03,30,일,14:00,사직,KT,4.0,4.0,롯데,0.0
03,30,일,14:00,고척,SSG,8.0,2.0,키움,1.0
03,30,일,14:00,대전(신),KIA,5.0,3.0,한화,1.0
04,02,수,18:30,잠실,키움,3.0,5.0,두산,-1.0
04,02,수,18:30,수원,LG,5.0,9.0,KT,-1.0
04,02,수,18:30,광주,삼성,4.0,2.0,KIA,1.0
04,02,수,18:30,대전(신),롯데,6.0,2.0,한화,1.0
04,03,목,18:30,잠실,키움,1.0,6.0,두산,-1.0
04,03,목,18:30,수원,LG,5.0,1.0,KT,1.0
04,03,목,18:30,광주,삼성,1.0,3.0,KIA,-1.0
04,03,목,18:30,대전(신),롯데,4.0,2.0,한화,1.0
04,04,금,18:30,잠실,KIA,2.0,8.0,LG,-1.0
04,04,금,18:30,문학,KT,2.0,3.0,SSG,-1.0
04,04,금,18:30,사직,두산,15.0,3.0,롯데,1.0
04,04,금,18:30,대구,한화,0.0,5.0,삼성,-1.0
04,04,금,18:30,고척,NC,1.0,5.0,키움,-1.0
